11DOCRTSLte	adp	ABCB1	ABCB1	P08183	141479	0.169629708	0.7671
11DOCRTSLte	pi	ABCB1	ABCB1	P08183	141479	0.686142862	0.1583
11DOCRTSLte	11docrtsl	ABCB1	ABCB1	P08183	141479	0.018610666	0.091
11DOCRTSLte	atp	ABCB1	ABCB1	P08183	141479	0.247262195	0.9344
11DOCRTSTRNte	atp	ABCB1	ABCB1	P08183	141479	0.247262195	0.9344
11DOCRTSTRNte	11docrtstrn	ABCB1	ABCB1	P08183	141479	0.022506732	0.2229
11DOCRTSTRNte	adp	ABCB1	ABCB1	P08183	141479	0.169629708	0.7671
11DOCRTSTRNte	pi	ABCB1	ABCB1	P08183	141479	0.686142862	0.1583
12HTACRhr	12htacr	CYP3A5	CYP3A5	P20815	57109	0.171701103	2.1072
12HTACRhr	nadph	CYP3A4	CYP3A4	P08684	57343	0.045545463	6.1898
12HTACRhr	tacr	CYP3A4	CYP3A4	P08684	57343	0.177971825	2.7632
12HTACRhr	nadp	CYP3A4	CYP3A4	P08684	57343	0.076222852	3.8873
12HTACRhr	12htacr	CYP3A4	CYP3A4	P08684	57343	0.177971825	2.3657
12HTACRhr	nadph	CYP3A5	CYP3A5	P20815	57109	0.045132872	2.9069
12HTACRhr	nadp	CYP3A5	CYP3A5	P20815	57109	0.074328788	3.6671
12HTACRhr	tacr	CYP3A5	CYP3A5	P20815	57109	0.171701103	2.6146
13DAMPPOX	h2o2	AOC1	AOC1	P19801	85378	4.886639595	646972.4378
13DAMPPOX	13dampp	AOC1	AOC1	P19801	85378	0.307895362	1351.6635
13DAMPPOX	nh4	AOC1	AOC1	P19801	85378	4.626699448	126575.8092
13DAMPPOX	13dampp	#N/A	AOC2	O75106	83673	0.223148242	0.5587
13DAMPPOX	bamppald	#N/A	AOC2	O75106	83673	0.387883574	1.1367
13DAMPPOX	13dampp	#N/A	AOC3	Q16853	84622	0.302074075	0.3381
13DAMPPOX	bamppald	#N/A	AOC3	Q16853	84622	0.508759737	0.4417
13DAMPPOX	h2o2	#N/A	AOC3	Q16853	84622	1.901377797	602.751
